method,count,coverage,mae_seconds,p95_absolute_seconds,bias_seconds,training_seconds,model_bytes,validation_mae_seconds,train_mae_seconds,query_ms_mean,query_ms_p95,resolution,city,landmarks,matrix_bytes
ridge,1962,1,122.99722014690641,332.20349970003303,1.4465231468104633,0.13707108423113823,5508,119.8955997795517,119.33566951757946,0.8683974295854568,0.9189821779727936,6,tel_aviv,106,44944
boosted_trees,1962,1,106.48582357006426,289.0407377303387,-4.446540416421392,4.673613622784615,1044669,102.18909244460083,76.94460741204203,2.527483869343996,2.6877237483859058,6,tel_aviv,106,44944
mlp,1962,1,110.09781422985358,317.5038732714524,-10.367702879596061,6.829102773219347,513548,101.7582913122747,84.28461043033275,0.7570324838161469,0.822620652616024,6,tel_aviv,106,44944
dp,1962,1,389.89801092274206,802.7500231933589,389.89801087296826,,,,,4.213791458310216,4.7994432970881435,6,tel_aviv,106,44944
ridge,1962,1,117.07412999545168,321.2193417305853,-4.5167629549404325,0.12414912134408951,5516,109.7236811654357,114.28185401774623,0.8891791291534901,0.9269280359148979,7,tel_aviv,346,478864
boosted_trees,1962,1,105.82035661820976,295.85774168725914,-4.437258144968206,4.527718752622604,1044733,99.24484627777154,73.19056404154558,2.5263517908751965,2.6086704805493355,7,tel_aviv,346,478864
mlp,1962,1,104.39816280088988,294.8311829937982,-12.492462688520515,4.639149304479361,516265,99.05169782208871,82.94435041715228,0.7832775823771954,0.8409606292843819,7,tel_aviv,346,478864
dp,1962,1,286.25861316101503,585.1599768066407,286.2586128748156,,,,,4.196081215574593,4.7905271872878075,7,tel_aviv,346,478864
ridge,1962,1,94.52897545948233,278.3484922745964,-6.296567986705977,0.12437383085489273,5516,89.65446477376884,91.43858891154892,0.8681046403944492,0.9217020124197004,8,tel_aviv,1605,10304100
boosted_trees,1962,1,89.06659602910317,264.3926668880138,-6.986838341192437,4.393074132502079,1044733,85.48393770825615,58.36254303732355,2.5324595533311367,2.6261331513524055,8,tel_aviv,1605,10304100
mlp,1962,1,88.6452199198859,273.3037909778545,-21.26619801404268,3.069108784198761,516057,85.85483754245287,79.31043497712754,0.7304346188902855,0.8169012144207953,8,tel_aviv,1605,10304100
dp,1962,1,172.09225267571657,467.21499938964786,172.09225168646174,,,,,4.246249783567697,4.991619288921353,8,tel_aviv,1605,10304100
ridge,1962,1,133.57755763557657,321.77663215792296,-5.845900539396124,0.1331750825047493,5188,121.8250170283166,128.72056169078334,0.8479609712958336,0.9219525381922721,6,amsterdam,110,48400
boosted_trees,1962,1,104.58492858579208,262.2483556014103,-4.099851589191618,4.328993737697601,1043853,99.35667020368237,79.41765172282409,2.6430151611566544,3.680771589279174,6,amsterdam,110,48400
mlp,1962,1,101.74706613425926,256.97898148537007,1.7018745518036054,6.887014057487249,488652,100.80773443398222,84.93208788990778,0.7311115600168705,0.8260216563940048,6,amsterdam,110,48400
dp,1962,1,534.7618748002825,936.5750238037109,534.7618747505087,,,,,4.0683894001410765,4.544793628156184,6,amsterdam,110,48400
ridge,1962,1,117.19141543177012,283.89991752008166,1.9740391436927631,0.12172402814030647,5516,113.91614758039971,118.13277584010613,0.8616530522704124,0.8973520249128341,7,amsterdam,358,512656
boosted_trees,1962,1,101.78027627970535,257.3239818762038,-1.0890536459568327,4.653197605162859,1044733,100.80663646717025,73.13785163864401,2.4785931408405304,2.573282830417156,7,amsterdam,358,512656
mlp,1962,1,99.1267970320791,249.6927015339055,3.1538409049473426,4.884227156639099,516396,99.59599051335591,80.36925033082824,0.7230070047080517,0.8106717839837073,7,amsterdam,358,512656
dp,1962,1,334.60932790812603,656.5749890136718,334.60932788323913,,,,,4.119316565972221,4.636318795382976,7,amsterdam,358,512656
ridge,1962,1,82.41349420277731,215.05233844734173,-7.7831352666668705,0.12083160132169724,5516,87.59554273545207,90.19048772944831,0.8449601009488106,0.9085994213819503,8,amsterdam,1637,10719076
boosted_trees,1962,1,77.39658543559601,201.83069521034562,-8.43964653100078,4.4869491048157215,1044733,83.31854629121368,56.6627890580097,2.513701878488064,2.5879712775349617,8,amsterdam,1637,10719076
mlp,1962,1,76.18155689937699,205.38648664925486,2.569907481246169,3.3292123787105083,516105,81.14974669298066,75.3215323218406,0.756607111543417,0.8198980242013931,8,amsterdam,1637,10719076
dp,1962,1,170.06401666219327,411.16499877929596,170.06401604002042,,,,,4.033996857452101,4.642084054648874,8,amsterdam,1637,10719076
ridge,1983,1,168.0500789288882,425.7368431635038,-2.044395290420854,0.14668892323970795,4876,162.8884478404247,164.51053417847632,0.8603516966104507,0.9543187916278839,6,nyc,250,250000
boosted_trees,1983,1,131.47623324149453,334.30380610243884,2.4068625636877194,4.278379678726196,1043117,131.01197848716058,95.18760698546454,2.595598306506872,2.6849228888750076,6,nyc,250,250000
mlp,1983,1,127.93083374793163,331.3751450636137,27.24463370486001,8.508044589310884,467468,122.38998065360055,93.05787963967919,0.7597506418824196,0.8258305490016937,6,nyc,250,250000
dp,1983,1,433.75990776950766,772.9499999999997,433.75990776950766,,,,,6.933903779066156,8.295260369777678,6,nyc,250,250000
ridge,1983,1,116.2253135594774,307.48712346800573,-2.535271829228622,0.12188943848013878,5516,121.24887358220796,113.416385729673,0.8619555272161961,0.9307561442255973,7,nyc,1054,4443664
boosted_trees,1983,1,101.90777462807458,272.04905625186603,0.08143071629783122,4.715814616531134,1044733,100.45536210388327,70.46212042476174,2.608662750571966,2.7165863662958145,7,nyc,1054,4443664
mlp,1983,1,95.76219752798777,266.41210654516,5.762347616053822,10.552403338253498,517324,103.01026128210444,74.02958645013905,0.7820904068648815,0.8364638313651084,7,nyc,1054,4443664
dp,1983,1,248.35496855719907,455.22990234375,248.35496855719907,,,,,6.80040929558538,8.345740661025046,7,nyc,1054,4443664
ridge,1983,1,78.38492413968633,240.88018584990056,-7.081948503917307,0.12438751012086868,5516,82.76509294102455,76.01118218921877,0.8834207430481911,0.9413003921508789,8,nyc,5646,127509264
boosted_trees,1983,1,73.3753693048526,209.6433686109314,-4.656922848110733,4.59412694349885,1044733,75.658066506777,48.883312947016634,2.5746653228998184,2.731490507721901,8,nyc,5646,127509264
mlp,1983,1,74.34390619667433,220.71859279081534,0.029804462340023267,9.004836685955524,517116,77.56837548745578,55.55020500087016,0.7385907135903835,0.8160393685102463,8,nyc,5646,127509264
dp,1983,1,154.13176918972397,330.07000244140653,154.13176890655532,,,,,6.738888390035384,8.251561224460598,8,nyc,5646,127509264
